序號	客家語言	等級	腔調	類別	客語音標	華語辭義	英語詞義	客語例句	華語翻譯
048	音響	初級	四縣	居處	imˊ hiongˋ	音響	stereo system	這種音響當(蓋)好，毋過無便宜。	這種音響很好，不過不便宜。
049	收音機	初級	四縣	居處	suˊimˊgiˊ	收音機	radio	吾爸駛車仔該下，會聽收音機。	我爸爸開車的時候，會聽收音機。
050	電話	初級	四縣	居處	tien  fa	電話	telephone	打電話同先生拜年。	我打電話向老師拜年。
051	手機仔	初級	四縣	居處	suˋgiˊeˋ	手機	mobile phone	打手機仔分阿哥，佢無接。	我打手機給哥哥，他沒接。
052	冷氣	初級	四縣	居處	langˊ hi【(nangˊhi)】	冷氣機	air conditioner	這下無安冷氣个人家當(蓋)少吔。	現在沒裝冷氣的人家很少了。
053	熱水器	初級	四縣	居處	ngied  suiˋ hi	熱水器	hot-water heater	熱水器愛安在屋外背正安全。	熱水器要裝在屋外才安全。
054	瓦斯爐	初級	四縣	居處	ngaˋ siiˊ luˇ	瓦斯爐	gas stove	用瓦斯爐煮食，當（蓋 ） 利便。	用瓦斯爐煮食，很方便。
055	洗衫機	初級	四縣	居處	seˋ samˊ giˊ	洗衣機	washing machine	用洗衫機洗衫，當（盡）省事。	用洗衣機洗衣，很省事。
056	焙衫機【烘衫機】	初級	四縣	居處	poi  samˊ giˊ【hangˊ samˊ giˊ】	烘衣機	clothes dryer	有焙衫機(烘衫機)，落雨天就毋使愁。	有烘衣機，下雨天就不用愁。
057	吹風機	初級	四縣	居處	coiˊ fungˊ giˊ	吹風機	hair dryer	頭那洗好，愛用吹風機吹燥。	頭洗好，要用吹風機吹乾。
058	瓦斯	初級	四縣	居處	ngaˋ siiˊ【ga siiˋ】	瓦斯	gas	出門之前愛記得關瓦斯。	出門之前要記得關瓦斯。
059	水道水	初級	四縣	居處	suiˋ to  suiˋ	自來水	tap water	臺灣連莊下都有水道水好用。	臺灣連鄉下都有自來水可用。
060	日光燈	初級	四縣	居處	ngidˋ gongˊ denˊ	日光燈	fluorescent lamp	點日光燈較（過）省電。	點日光燈比較省電。
061	電球仔【鴨胲仔】	初級	四縣	居處	tien  kiuˇ eˋ【abˋ goiˊ eˋ】	電燈泡	bulb	電球仔（鴨胲仔）壞忒（核）吔，去買隻新个來換。	電燈泡壞了，去買個新的來換。
062	電火	初級	四縣	居處	tien  foˋ	電燈	electric light or lamp	電火關忒佢，好去睡目吔！	把燈關掉，該去睡覺了！
063	眠床	初級	四縣	居處	minˇ congˇ	床鋪	bed	係想睡，就去眠床睡。	如果想睡，就去床上睡。
064	膨床（北多）	初級	四縣	居處	pong  congˇ（bed  doˋ）	彈簧床	spring bed	當（蓋）多老人家睡毋慣膨床。	很多老人家睡不慣彈簧床。
065	眠帳	初級	四縣	居處	minˇ  zong	蚊帳	mosquito net	蚊仔恁多，無吊眠帳睡毋得。	蚊子這麼多，沒掛蚊帳睡不著。
066	門簾	初級	四縣	居處	munˇ  liamˇ	門簾	door curtain	門簾放下來，正毋會分人看現現。	門簾放下來，才不會讓人一覽無遺。
067	簞笥	初級	四縣	居處	tan  siiˋ	衣櫥	wardrobe	簞笥大，做得吊較（過）多衫褲。	衣櫥大，可以掛比較多衣服。
068	被	初級	四縣	居處	piˊ	棉被	bed quilt	睡目愛蓋被，正毋會寒着。	睡覺要蓋棉被，才不會感冒。
069	枕頭	初級	四縣	居處	ziimˋ teuˇ	枕頭	pillow	有兜人睡目毋墊枕頭。	有些人睡覺不墊枕頭。
070	凳仔	初級	四縣	居處	den  eˋ	凳子	chair	阿良牯！去兜張凳仔來分人客坐好無？	阿良！去搬張凳子來讓客人坐好嗎？
071	膨凳	初級	四縣	居處	pong  den	沙發	sofa	阿文犁在膨凳項看電視。	阿文躺在沙發上看電視。
072	桌仔	初級	四縣	居處	zogˋ eˇ【zogˋeˋ】	桌子	table	教室肚个桌仔排到當(蓋)正。	教室裡的桌子排得很整齊。
073	馬桶	初級	四縣	居處	maˊ tungˋ	馬桶	toilet	吾屋下換過一隻新个馬桶。	我家換過一個新的馬桶。
074	鏡仔	初級	四縣	居處	giang  eˋ	鏡子	mirror	當（蓋）好照鏡仔。	我很喜歡照鏡子。
075	面盆	初級	四縣	居處	mien  punˇ	臉盆	washing basin	面盆肚个水冷忒吔，去換過一盆來！	臉盆裡的水冷掉了，去換過一盆！
076	面帕	初級	四縣	居處	mien pa	毛巾	towel	洗面以後，面帕愛洗淨，晾起來。	洗臉以後，毛巾要洗乾淨，晾起來。
077	牙确仔	初級	四縣	居處	ngaˇgog  eˋ	漱口杯	mouth washing cup	用牙确仔張水洗嘴。	我用漱口杯裝水刷牙漱口。
078	牙膏	初級	四縣	居處	ngaˇ gauˊ	牙膏	toothpaste	搓牙齒會用着牙膏。	刷牙會用到牙膏。
079	牙搓仔	初級	四縣	居處	ngaˇ co  eˋ	牙刷	toothbrush	出國旅行愛記得帶牙搓仔。	出國旅行要記得帶牙刷。
080	茶箍【番鹼】	初級	四縣	居處	caˇ guˊ【fanˊ gienˋ/gianˋ】	肥皂	soap	吾屋下人較（過）慣用茶箍（番鹼）洗衫。	我家裡人比較習慣用肥皂洗衣服。
081	衛生紙	初級	四縣	居處	vi  senˊ ziiˋ	衛生紙	toilet paper	衛生紙有帶着無？	衛生紙帶了嗎？
082	紅毛泥	初級	四縣	居處	fungˇ moˊ naiˇ	水泥	cement	紅毛泥還吂燥，還做毋得踏。	水泥還沒乾，還不可以踩。
083	信袋仔（信絡仔）	初級	四縣	居處	xin  toi  eˋ（xin  log  eˋ）	信封	envelope	愛寄信仔，毋過尋無半隻信袋仔（信絡仔）！	我要寄信，不過找不到半個信封！
084	稅屋仔（屋仔、租屋仔）	初級	四縣	居處	soi  vugˋeˇ（piog  vugˋeˇ、zuˊvugˋeˇ）	租房子	to rent a house	阿樹哥在外背稅屋仔歇。	阿樹哥在外面租房子住。
001	行	初級	四縣	交通	hangˇ	走；交往	to walk；to associate oneself with	頭前行等過來个，係吾哥。	前面走過來的人，是我哥哥。
002	飛行機	初級	四縣	交通	biˊ hangˇ giˊ（fiˊ hangˇ giˊ）【biˊ/fiˊ iangˇ giˊ】	飛機	airplane	臺北到日本，坐飛行機，愛三點鐘久。	臺北到日本，搭飛機，要三個鐘頭。
003	輪船（火船）	初級	四縣	交通	lunˇ  sonˇ（ foˋsonˇ ）	輪船	ship	有人毋敢坐飛行機，甘願坐輪船。	有人不敢搭飛機，情願搭輪船。
004	火車	初級	四縣	交通	foˋ caˊ	火車	train	講着愛坐火車，當（蓋）歡喜。	說到要坐火車，我很高興。
005	火車【火車頭】	初級	四縣	交通	foˋ caˊ maˇ【foˋ caˊ teuˇ】	火車頭	locomotive engine	頭擺个火車嫲（頭）燒石炭。	以前的火車頭燒煤炭。
006	遊覽車	初級	四縣	交通	iuˇ lam  caˊ	遊覽車	tour bus	這擺校外教學愛坐遊覽車去。	這次校外教學要坐遊覽車去。
007	巴士	初級	四縣	交通	ba  siiˋ	公共汽車	bus	逐日坐巴士去上班。	我每天搭公共汽車去上班。
008	計程車（他庫西）	初級	四縣	交通	gie  cangˇ caˊ（taˇ ku  xiˋ）【ge  hangˇ caˊ】	計程車	taxi; cab	出門坐計程車當（蓋）方便。	出門坐計程車很方便。
009	轎車（矮嫲仔）	初級	四縣	交通	kieu  caˊ（aiˋmaˇ eˋ）【geuˊ  caˊ】	轎車	sedan	尖車當（蓋）艱苦，買輛轎車來駛較（過）贏。	擠車很辛苦，不如買輛轎車來開。
010	機車(奧多拜)【引擎】	初級	四縣	交通	giˊ caˊ（ oˊdo  baiˋ）【enˊ jinˋ】	機車	scooter; motorcycle	騎機車(引擎)定著愛戴安全帽。	騎機車一定要戴安全帽。
011	自行車【腳踏車】【自轉車】	初級	四縣	交通	cii  hangˇ caˊ【giogˋ tab caˊ】【cii  zonˋ caˊ】	自行車；鐵馬	bicycle	這下緊來緊多人騎自行車（自轉車）上下。	現在越來越多人騎自行車往來。
012	捷運	初級	四縣	交通	qiab   iun	捷運	MRT	坐捷運毋使等紅燈，加異（盡）遽。	搭捷運不必等紅燈，快多了。
013	高鐵	初級	四縣	交通	goˊtiedˋ	高鐵	high-speed railway	坐高鐵比坐火車貴，毋過加當（蓋）遽。	搭高鐵比搭火車貴，不過快很多。
014	流籠	初級	四縣	交通	liuˇ  longˇ【liuˇ  lungˇ】	纜車	cable car	識去坐過日月潭个流籠。	我曾坐過日月潭的纜車。
015	飛機場	初級	四縣	交通	fiˊ giˊ congˇ	飛機場	airport	香港新起个飛機場當（蓋）大。	香港新蓋的飛機場很大。
016	碼頭	初級	四縣	交通	maˊ teuˇ	碼頭	wharf	老弟當（蓋）愛去基隆碼頭看大船。	弟弟很喜歡去基隆碼頭看大船。
017	鐵路	初級	四縣	交通	tiedˋ lu	鐵軌	railway	基隆到新竹个鐵路，係劉銘傳造个。	基隆到新竹的鐵路，是劉銘傳造的。
018	車頭（車站）	初級	四縣	交通	caˊ teuˇ（caˊ zam）	車站	station	請問客運个車頭仰般行？	請問客運車站怎麼走？
019	火車頭	初級	四縣	交通	foˋ caˊ teuˇ	火車站	train station	臺北火車頭像市場樣仔，當（蓋）多人。	臺北火車站像市場一樣，很多人。
020	巴士站	初級	四縣	交通	ba  siiˋ zam	巴士站	bus station	火車頭脣就有巴士站 。	火車站旁邊就有巴士站 。
021	加油站	初級	四縣	交通	gaˊ iuˇ zam	加油站	gas station	車仔會無油吔，先去加油站加油。	車子快沒油了，先去加油站加油。
022	汽油	初級	四縣	交通	hi iuˇ	汽油	gasoline	你个車仔係用哪種汽油？	你的車子是用哪一種汽油？
023	天橋	初級	四縣	交通	tienˊ kieuˇ	天橋	overhead bridge	行天橋較（過）費氣，毋過較（過）安全。	走天橋比較麻煩，不過比較安全。
024	橋	初級	四縣	交通	kieuˇ	橋	bridge	媽祖廟當（蓋）近，過橋就到吔。	媽祖廟很近，過橋就到了。
025	地下道	初級	四縣	交通	ti  haˊ to	地下道	underpass	暗晡頭行地下道，較（過）得人驚。	晚上走地下道，比較可怕。
026	人行道	初級	四縣	交通	nginˇ  hangˇ  to	人行道	sidewalk	人行道係分行路人行个。	人行道是給路人走的。
027	窿	初級	四縣	交通	lungˇ【nungˇ】	隧道	tunnel	火車過窿，看毋着外背个風景。	火車過隧道，看不到外面的風景。
028	交通警察	初級	四縣	交通	gauˊ tungˊ ginˋ cadˋ	交通警察	traffic police	這條路係無交通警察，定著會塞車。	這條路如果沒交通警察，一定會塞車。
029	紅青燈	初級	四縣	交通	fungˇ qiangˊ denˊ	紅綠燈	traffic lights	過大路愛看紅青燈。	過馬路要看紅綠燈。
030	十字路口	初級	四縣	交通	siib  sii  lu  heuˋ	十字路口	intersection	在十字路口等你。	我在十字路口等你。
031	車牌	初級	四縣	交通	caˊ paiˇ	站牌	bus stop	你知263个車牌在哪位無？	你知道263的站牌在哪裡嗎？
032	優待票	初級	四縣	交通	iuˊ tai  peuˊ	優待票	discount ticket	有電影「海角七號」个優待票。	我有電影「海角七號」的優待票。
033	免費	初級	四縣	交通	mienˊ fi	免費	free of charge	這下，老人家坐公車免費。	現在，老人搭公車免費。
034	半票	初級	四縣	交通	ban  peuˊ	半票	half-fare ticket	細人仔坐車半票。	小孩子搭車半票。
035	退票	初級	四縣	交通	tui  peuˊ	退票	to get a refund for a ticket	退票愛扣手續費。	退票要扣手續費。
036	到站	初級	四縣	交通	do  zam	到站	to arrive at a station	車仔到站吔，遽遽下車。	車子到站了，趕快下車。
037	打單（買票）	初級	四縣	交通	daˋ danˊ（maiˊ peuˊ）	購票	to buy a ticket	無打單，做毋得上車。	沒買票，不可以上車。
038	騎馬	初級	四縣	交通	kiˇ  maˊ	騎馬	to ride a horse	騎馬係異（盡）好个運動。	騎馬是很好的運動。
039	撐船	初級	四縣	交通	cang  sonˇ	撐船	to row a boat	這條河壩無橋，愛撐船正過得去。	這條河沒有橋，要撐船才過得去。
040	停車	初級	四縣	交通	tinˇ caˊ	停車	to park a car	在臺北駛車仔，停車無方便。	在臺北開車，停車不方便。
041	坐車【坐車仔】	初級	四縣	交通	coˊ caˊ【coˊ caˊ eˋ】	乘車	to take a bus/taxi/train	坐車(坐車仔)个時節，頭那毋好探出去。	乘車的時候，頭不要探出去。
042	頭枋車	初級	四縣	交通	teuˇ  biongˊ caˊ	第一班車	first train/bus	天光日愛坐頭枋車去臺北。	明天我要搭頭班車去臺北。
043	尾枋車	初級	四縣	交通	miˊ biongˊ caˊ	尾班車	last train/bus	佢尾枋車無赴着，毋知愛仰結煞。	他末班車沒趕上，不知道該怎麼辦。
044	車禍	初級	四縣	交通	caˊ fo	車禍	traffic accident	路口出車禍，好得無人著傷。	路口出車禍，幸好沒人受傷。
001	杯仔	初級	四縣	器物用品	biˊ eˋ	杯子	cup	這隻杯仔無洗淨，請同換過隻。	這個杯子沒洗乾淨，請幫我換一個。
002	罐仔	初級	四縣	器物用品	gon  eˋ	瓶子	bottle	用過个罐仔，毋好忒。	用過的罐子，不要丟掉。
003	盎仔	初級	四縣	器物用品	angˊ eˋ	瓶子	bottle	盎仔肚个豆油伸無幾多吔。	瓶子裡的醬油剩沒多少了。
004	剪刀	初級	四縣	器物用品	jienˋ doˊ	剪刀	scissors	這支剪刀無利吔，拿去磨磨啊！	這把剪刀不利了，拿去磨一磨！
005	鈕仔【扣仔】	初級	四縣	器物用品	neuˋ eˇ【kieu eˋ】	鈕扣	button	細老弟曉得自家鈕鈕（扣扣）仔吔。	小弟會自己扣扣子了。
006	扇仔	初級	四縣	器物用品	san  eˋ	扇子	fan	坐在樹下撥扇仔該個老人家係吾公。	坐在樹下搧扇子那位老人是我爺爺。
007	目鏡【眼鏡】【眼架仔】	初級	四縣	器物用品	mugˋ giang 【ngianˋ giang】【ngianˋgaˊeˋ】	眼鏡	glasses	近視愛戴目鏡（眼鏡），正看得清楚。	近視要戴眼鏡，才看得清楚。
008	機器	初級	四縣	器物用品	giˊ hi	機器	machine	機器攪个粢粑仔較（過）無恁好食 （ 毋好食 ）。	機器絞的粢粑比較沒這麼好吃。
009	鑽仔	初級	四縣	器物用品	zon  eˋ	鑽子	drill	鑽空愛用鑽仔。	鑽孔要用鑽子。
010	扁鑽（多拉把）【鑽仔】	初級	四縣	器物用品	bienˋ zon(doˊ lai baˋ)【doˊ lai baˇ】【zon eˋ】	起子	driver	用扁鑽（鑚仔）來撙螺絲仔。	我用扁鑽來轉螺絲。
011	鐵鎚	初級	四縣	器物用品	tiedˋ cuiˇ	鐵鎚	hammer	阿爸擎鐵鎚來釘鐵釘仔。	爸爸拿鐵鎚來鎚釘子。
012	鉗仔	初級	四縣	器物用品	kiamˇ eˋ	老虎鉗	pincer,pliers	去拿鉗仔來剪鉛線仔。	去拿老虎鉗來剪鐵絲。
013	鐵釘仔【番釘】	初級	四縣	器物用品	tiedˋ dangˊ eˋ【fanˊdangˊ】	鐵釘	nail	這支鐵釘仔（番釘）忒細支，釘毋核。	這支鐵釘太小，釘不牢。
014	電線	初級	四縣	器物用品	tien  xien	電線	electric wrie	電線舊吔，愛換新（个）正較（過）安全。	電線舊了，要換新才比較安全。
015	隨身碟	初級	四縣	器物用品	suiˇ siinˊ tiab	隨身碟	flash drive	用隨身碟來保存電腦資料，當（蓋）利便。	用隨身碟來保存電腦資料，很方便。
016	光碟	初級	四縣	器物用品	gongˊ tiab	光碟	CD	光碟个儲存量當（蓋）大，放歸本書个資料無問題。	光碟的儲存量很大，放整本書的資料沒問題。
017	刀仔	初級	四縣	器物用品	doˊ eˋ	刀子	knife	刀仔愛放好，毋好分細人仔拿着。	刀子要放好，不要讓小孩子拿到。
018	菜刀	初級	四縣	器物用品	coi  doˊ	菜刀	kitchen chopper	金門菜刀當（蓋）有名。	金門菜刀很有名。
019	碗	初級	四縣	器物用品	vonˋ	碗	bowl	拿碗張飯，準備愛食飯吔。	我拿碗盛飯，準備要吃飯了。
020	碗公	初級	四縣	器物用品	vonˋ gungˊ	大碗	large bowl	去拿一隻碗公來張湯。	去拿一個大碗來裝湯。
021	盤仔	初級	四縣	器物用品	panˇ eˋ	盤子	plate	阿姆喊拿盤仔分佢張菜。	媽媽叫我拿盤子給他盛菜。
022	筷仔	初級	四縣	器物用品	kuai eˋ	筷子	chopsticks	西洋人毋慣擎筷仔。	西洋人不習慣拿筷子。
023	插仔	初級	四縣	器物用品	cabˋeˇ【cabˋ eˋ】	叉子	fork	食西瓜用插仔較(過)衛生。	吃西瓜用叉子比較衛生。
024	飯匙	初級	四縣	器物用品	fan  ciiˇ	飯匙	rice ladle	去拿飯匙來添飯！	去拿飯匙來盛飯！
025	湯匙【調羹仔】	初級	四縣	器物用品	tongˊ ciiˇ【tiauˇ gangˊ eˋ】	湯匙	spoon	食湯愛用湯匙（調羹仔）。	喝湯要用湯匙。
026	杓仔	初級	四縣	器物用品	sog  eˋ	杓子	ladle	去擎一支杓仔來舀水。	去拿一支杓子來舀水。
027	冰箱	初級	四縣	器物用品	benˊ xiongˊ	冰箱	refrigerator	食伸个菜愛放冰箱。	吃剩的菜要放冰箱。
028	微波爐	初級	四縣	器物用品	miˇ boˊ luˇ	微波爐	microwave	微波爐个輻射線當（蓋）強。	微波爐的輻射線很強。
029	烤箱	初級	四縣	器物用品	kauˋ xiongˊ	烤箱	oven	阿姆用烤箱焙煙腸。	媽媽用烤箱烤香腸。
030	暖壺（暖罐）	初級	四縣	器物用品	nonˊ fuˇ（nonˊ gon ）	熱水瓶	thermos bottle	桌頂有一隻暖壺。	桌上有一個熱水瓶。
031	鑊頭	初級	四縣	器物用品	vog  teuˇ	大鍋子	wok	頭擺人用鑊頭暖水來洗身。	以前的人用鍋子燒熱水來洗澡。
032	鑊仔	初級	四縣	器物用品	vog  eˋ	鍋子	（cooking）pot	同鑊仔洗淨來，好煮湯。	把鍋子洗乾淨，以便煮湯。
033	電鑊仔	初級	四縣	器物用品	tien  vog   eˋ	電鍋	electric rice cooker	用電鑊仔煮飯，又遽又利便。	用電鍋煮飯，又快又方便。
034	蓋仔	初級	四縣	器物用品	goi  eˋ	蓋子	cover	糖盎个蓋仔愛弇密來。	糖罐的蓋子要蓋密。
035	笠	初級	四縣	器物用品	libˋ maˇ【lebˋ maˇ】	斗笠	conical hat of bamboo splints to protect from sun and rain	戴笠嫲做田事，較（過）毋會熱。	戴斗笠下田，比較不會熱。
036	竹篙【竹篙仔】	初級	四縣	器物用品	zugˋ goˊ【zugˋ goˊeˋ】	竹竿	bamboo pole	用竹篙（竹篙仔）晾衫，較（過）方便。	用竹竿晾衣服，比較方便。
037	索仔	初級	四縣	器物用品	sogˋ eˇ【sogˋ eˋ】	繩子	rope	去拿一條索仔來這兜書。	去拿一條繩子來綁這些書。
038	菜籃	初級	四縣	器物用品	coi  lamˇ【coi namˇ】	菜籃	vegetable basket	阿爸擐菜籃去市場買菜。	爸爸提菜籃去市場買菜。
039	遮仔	初級	四縣	器物用品	zaˊ eˋ	傘	umbrella	日頭恁烈，出門愛記得擎遮仔。	太陽這麼大，出門要記得撑傘。
040	手電筒（手電仔）	初級	四縣	器物用品	suˋ tien tungˇ（suˋ tien  eˋ）	手電筒	flashlight	停電吔，去拿手電筒出來。	停電了，去拿手電筒出來。
041	捽來火（番仔火）（捽仔火）	初級	四縣	器物用品	cud loiˇ foˋ（fanˊ eˋfoˋ）（cud eˋfoˋ）	火柴	match	頭擺人用捽來火來點火。	以前的人用火柴點火。
042	賴打	初級	四縣	器物用品	laiˋdaˇ	打火機	lighter	有麼人看着吾个賴打？	有誰看到我的打火機？
043	鉛筆	初級	四縣	器物用品	ienˇ bidˋ【 ianˇ bidˋ】	鉛筆	pencil	一年生用鉛筆學寫字。	一年級用鉛筆學寫字。
044	毛筆（水筆）	初級	四縣	器物用品	moˊ bidˋ（suiˋ bidˋ）	毛筆	writing brush	寫春聯愛用毛筆寫正好看。	寫春聯要用毛筆寫才好看。
045	原子筆	初級	四縣	器物用品	ngienˇ ziiˋ bidˋ【 ngianˇ ziiˋ bidˋ】	原子筆	ball-point pen	一般人慣用原子筆寫字。	一般人習慣用原子筆寫字。
046	鋼筆(萬年筆)	初級	四縣	器物用品	gong  bidˋ(van  ngienˇ bidˋ)【van  ngianˇ bidˋ】	鋼筆	fountain pen	用鋼筆(萬年筆)愛張墨水正寫得。	用鋼筆要裝墨水才能寫。
047	色筆	初級	四縣	器物用品	sedˋ bidˋ	彩色筆	color pen	考試打頭名，阿姆買一盒色筆賞。	我考試第一名，媽媽買一盒彩色筆獎賞我。
048	捽仔	初級	四縣	器物用品	cud  eˋ	橡皮擦	eraser	字寫毋著，愛用捽仔捽淨來。	字寫錯，要用橡皮擦擦乾淨。
049	樹乳仔【樹乳】	初級	四縣	器物用品	su  nen  eˋ【su  nen】	橡皮筋	elastic band	樹乳仔(樹乳)做得束東西。	橡皮筋可以束東西。
050	鉛筆盒仔	初級	四縣	器物用品	ienˇ bidˋ hab eˋ【 ianˇ bidˋ hab eˋ】	鉛筆盒	pencil case	个鉛筆盒仔打毋見（核）吔。	我的鉛筆盒不見了。
051	粉牌	初級	四縣	器物用品	funˋ paiˇ	黑板	blackboard	無戴目鏡，看毋着粉牌个字。	我沒戴眼鏡，看不到黑板的字。
052	粉筆	初級	四縣	器物用品	funˋ bidˋ	粉筆	chalk	寫粉牌愛用粉筆。	寫黑板要用粉筆。
053	粉捽仔（粉牌捽仔）	初級	四縣	器物用品	funˋ cud  eˋ（funˋpaiˇ cud  eˋ）	板擦	duster	去拿粉捽仔同粉牌捽淨來。	去拿板擦把黑板擦乾淨。
001	做鬧熱	初級	四縣	休閒娛樂	zo nau ngied	辦大型活動	to have a carnival or festival	街項做鬧熱，車仔尖毋得出。	街上有大活動，車子擠不出去。
002	奇術（把戲）	初級	四縣	休閒娛樂	kiˇ  sud （baˋ hi ）	魔術	magic	佢當（蓋）會變奇術。	他很會變魔術。
003	籃球	初級	四縣	休閒娛樂	lamˇ  kiuˇ【namˇ  kiuˇ】	籃球	basketball	當（蓋）愛打籃球。	我很喜歡打籃球。
004	閃避球	初級	四縣	休閒娛樂	samˋpidˋ kiuˇ	躲避球	dodge ball	小朋友最好搞閃避球。	小朋友最喜歡玩躲避球。
005	排球	初級	四縣	休閒娛樂	paiˇ  kiuˇ	排球	volleyball	阿男牯係學校排球隊个隊長。	阿男是學校排球隊的隊長。
006	拍球仔	初級	四縣	休閒娛樂	pogˋ kiuˇ   eˋ	拍球	to bounce the ball	打籃球愛先學拍球仔。	打籃球要先學拍球。
007	足球（腳球）	初級	四縣	休閒娛樂	jiugˋ kiuˇ【zugˋ kiuˇ】（giogˋ kiuˇ）	足球	soccer	下課大家共下來踢足球。	下課大家一起來踢足球。
008	踢球仔	初級	四縣	休閒娛樂	tedˋ kiuˇeˋ	踢球	to kick a ball	足球選手踢球仔个技術一流。	足球選手踢球的技術一流。
009	野球（棒球）	初級	四縣	休閒娛樂	iaˊ kiuˇ（bong  kiuˇ）	棒球	baseball	臺灣人打野球，世界有名。	臺灣人打棒球，世界有名。
010	網球	初級	四縣	休閒娛樂	miongˋ kiuˇ	網球	tennis	打網球，愛走來走去，運動量盡大。	打網球，要跑來跑去，運動量很大。
011	乒乓（桌球）	初級	四縣	休閒娛樂	pinˊ pongˋ（ zogˋ kiuˇ ）	乒乓球、桌球	ping pong/table tennis	打乒乓就像打細場个網球。	打乒乓球就像打迷你的網球。
012	羽毛球	初級	四縣	休閒娛樂	iˋ moˊ kiuˇ	羽毛球	badminton	有空地就做得打羽毛球。	有空地就可以打羽毛球。
013	保齡球	初級	四縣	休閒娛樂	boˋ linˇ kiuˇ	保齡球	bowling	係驚日頭晒，就打保齡球。	如果怕太陽晒，就打保齡球。
014	球場	初級	四縣	休閒娛樂	kiuˇ congˇ	球場	field, court	球場項有當（蓋）多人在該打球仔。	球場上有很多人在那裡打球。
015	走相逐	初級	四縣	休閒娛樂	zeuˋxiongˊ giugˋ	賽跑	racing	佢走相逐，見擺都打頭名。	他賽跑，每次都得第一。
016	吊晃槓仔	初級	四縣	休閒娛樂	diau gongˇgong  eˋ	盪鞦韆	to  play on the swing	細人仔當（蓋）愛（好）吊晃槓仔。	小孩子很喜歡盪鞦韆。
017	跳高	初級	四縣	休閒娛樂	tiau  goˊ	跳高	high jump	佢參加跳高比賽，拿着冠軍。	他參加跳高比賽，得到冠軍。
018	跳遠	初級	四縣	休閒娛樂	tiau  ienˋ【tiau  ianˋ】	跳遠	long jump	阿松跳遠个時節，扭着腳盤。	阿松跳遠的時候，扭到脚掌。
019	漫畫	初級	四縣	休閒娛樂	man  fa	漫畫	comics	阿姆講，字寫好正做得看漫畫。	媽媽說，功課寫好才可以看漫畫。
020	唱歌（唱歌仔）	初級	四縣	休閒娛樂	cong  goˊ（cong  goˊ eˋ）	唱歌	singing	阿登姊緊洗身緊唱歌。	阿登姊邊洗澡邊唱歌。
021	跳舞	初級	四縣	休閒娛樂	tiau  vuˋ	跳舞	dancing	阿月妹五歲就開始學跳舞。	阿月妹五歲就開始學跳舞。
022	跳索仔	初級	四縣	休閒娛樂	tiau sogˋeˇ【tiau sogˋ eˋ】	跳繩	jump rope	（等）來搞跳索仔好無？	我們來玩跳繩好嗎？
023	揰球仔	初級	四縣	休閒娛樂	dungˋ kiuˇeˋ【tungˋ kiuˇeˋ】	撞球	snooker	這下當（蓋）多後生人（仔 ）會揰球仔。	現在很多年輕人會撞球。
024	直排輪	初級	四縣	休閒娛樂	ciid  paiˇ lunˇ	直排輪	in-line skates	這下，後生人時行溜直排輪。	現在年輕人流行溜直排輪。
025	溜滑梯	初級	四縣	休閒娛樂	liu vad toiˊ	溜滑梯	to play on the slide	下課時節，大家相賽（爭）去溜滑梯。	下課時，大家搶著去溜滑梯。
026	玩具	初級	四縣	休閒娛樂	nguanˇ kiˋ	玩具	toy	阿明厥屋下有當（蓋）多玩具好搞。	阿明他家有很多玩具好玩。
027	田徑	初級	四縣	休閒娛樂	tienˇ gang	田徑	track and field games	田徑選手逐個都走恁遽。	田徑選手每個都跑這麼快。
028	球賽	初級	四縣	休閒娛樂	kiuˇ soi	球賽	ball game	吾倈仔當（蓋）好看球賽。	我兒子很喜歡看球賽。
029	洗身仔（泅水）	初級	四縣	休閒娛樂	seˋ siinˊ eˋ（qiuˇ suiˋ）	游泳	swimming	莊下个細人仔當（蓋）好去河壩洗身仔。	鄉下的小孩子很喜歡去河裡游泳。
030	比賽	初級	四縣	休閒娛樂	biˋ soi	比賽	contest	第一擺參加演講比賽，有兜仔緊張。	我第一次參加演講比賽，有點緊張。
031	溜冰	初級	四縣	休閒娛樂	liu  benˊ	溜冰	to skate	阿玉仔湊（邀）下晝共下去溜冰。	阿玉約我下午一起去溜冰。
032	溜冰場	初級	四縣	休閒娛樂	liu  benˊ congˇ	溜冰場	skating rink	去溜冰場溜冰，較（過）毋會危險。	去溜冰場溜冰，比較不會危險。
033	溜雪	初級	四縣	休閒娛樂	liu  xiedˋ	滑雪	to ski	合歡山落雪吔，大家來去溜雪，愛無？	合歡山下雪了，大家去滑雪，要不要？
034	露營	初級	四縣	休閒娛樂	lu  iangˇ	露營	camping	露營愛自家煮來食，真生趣。	露營要自己煮來吃，真有趣。
035	帳篷	初級	四縣	休閒娛樂	zong pungˇ	帳篷	tent	細人仔當（蓋）好搭帳篷露營。	小孩子很喜歡搭帳篷露營。
036	蹶山【跋山】	初級	四縣	休閒娛樂	kied  sanˊ【bagˋ sanˊ】	爬山	mountain climbing	同學湊（邀）共下去蹶山。	同學約我一起去登山。
037	馬拉松	初級	四縣	休閒娛樂	maˊ la  songˋ	馬拉松	marathon	大哥今年愛參加馬拉松比賽。	大哥今年要參加馬拉松比賽。
